name,pos,adp,proj,surplus,there@5,there@20,there@29,there@44,there@53,there@77,there@92,there@101,there@116,there@125,there@140,there@149,there@164,there@173
Eddy Pineiro,K,168.6,128,-2,100,100,100,100,100,100,100,100,100,100,98,94,83,75
Wil Lutz,K,169.6,130,0,100,100,100,100,100,100,100,100,100,100,100,99,98,96
Caleb Douglas,WR,169.9,80,-76,100,100,100,100,100,100,100,100,100,100,99,99,95,90
Bryce Young,QB,169.9,248,-64,100,100,100,100,100,100,100,100,99,98,96,94,88,83
Jacoby Brissett,QB,170.0,235,-77,100,100,100,100,100,99,99,96,88,81,71,61,44,33
Isaac TeSlaa,WR,171.2,82,-74,100,100,100,100,100,98,93,89,76,65,43,31,14,8
Emmett Johnson,RB,171.4,72,-92,100,100,100,100,100,100,100,100,100,100,100,99,97,93
Chig Okonkwo,TE,171.9,97,-19,100,100,100,100,100,100,100,100,100,100,99,99,98,97
T.J. Hockenson,TE,172.2,112,-4,100,100,100,100,100,100,100,100,100,100,100,100,99,99
Evan McPherson,K,172.2,131,1,100,100,100,100,100,100,100,100,100,100,100,100,99,99
Dallas Defense,DEF,172.9,95,-6,100,100,100,100,100,100,100,100,100,100,100,100,99,99
Chicago Defense,DEF,173.2,95,-6,100,100,100,100,100,100,100,100,100,100,99,97,92,87
New Orleans Defense,DEF,179.5,92,-9,100,100,100,100,100,100,100,100,100,100,100,100,99,98
Andy Borregales,K,183.2,126,-4,100,100,100,100,100,100,100,100,100,100,98,96,91,87
Cairo Santos,K,184.7,125,-5,100,100,100,100,100,100,100,100,100,100,100,99,97,95
Tennessee Defense,DEF,185.4,90,-11,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cincinnati Defense,DEF,188.6,90,-11,100,100,100,100,100,100,100,100,100,100,100,100,98,97
